HOG	OG	Gene Tree Parent Clade	Aar	Ath	Chi	Cru	Tar
N0.HOG0000057	OG0000014	n6	Aa31LG3G3110		CARHR119500.1, CARHR253210.1	Carub.0002s1911.1.p	gene-TAV2_LOCUS18215, gene-TAV2_LOCUS24710, gene-TAV2_LOCUS25604, gene-TAV2_LOCUS25607, gene-TAV2_LOCUS3861, gene-TAV2_LOCUS13379, gene-TAV2_LOCUS25837, gene-TAV2_LOCUS16008, gene-TAV2_LOCUS23039, gene-TAV2_LOCUS25979, gene-TAV2_LOCUS1469, gene-TAV2_LOCUS17066, gene-TAV2_LOCUS5259, gene-TAV2_LOCUS18216, gene-TAV2_LOCUS17065, gene-TAV2_LOCUS17063, gene-TAV2_LOCUS9136, gene-TAV2_LOCUS3948, gene-TAV2_LOCUS14924, gene-TAV2_LOCUS1575, gene-TAV2_LOCUS3951, gene-TAV2_LOCUS15036, gene-TAV2_LOCUS7240, gene-TAV2_LOCUS16282, gene-TAV2_LOCUS9234, gene-TAV2_LOCUS22738, gene-TAV2_LOCUS19770, gene-TAV2_LOCUS23847, gene-TAV2_LOCUS9803, gene-TAV2_LOCUS23846, gene-TAV2_LOCUS7842, gene-TAV2_LOCUS19767, gene-TAV2_LOCUS25593, gene-TAV2_LOCUS20828, gene-TAV2_LOCUS533, gene-TAV2_LOCUS20829, gene-TAV2_LOCUS1470, gene-TAV2_LOCUS7332, gene-TAV2_LOCUS22516, gene-TAV2_LOCUS22513, gene-TAV2_LOCUS3673, gene-TAV2_LOCUS17911, gene-TAV2_LOCUS11297, gene-TAV2_LOCUS9075, gene-TAV2_LOCUS11298, gene-TAV2_LOCUS9074, gene-TAV2_LOCUS1079, gene-TAV2_LOCUS17912, gene-TAV2_LOCUS7327
N0.HOG0000058	OG0000015	n0	Aa31sc24G10	AT1G36970.1, AT4G05555.1, AT3G31560.1, AT3G32960.1	CARHR118270.1, CARHR287300.1, CARHR286300.1, CARHR148220.1, CARHR258830.1, CARHR283870.1, CARHR150440.1, CARHR035130.1, CARHR256350.1, CARHR149850.1, CARHR055460.1, CARHR118410.1, CARHR263280.1, CARHR179050.1, CARHR055470.1, CARHR221560.1	Carub.0008s0693.1.p, Carub.0007s3145.1.p, Carub.0004s0676.1.p	gene-TAV2_LOCUS22076, gene-TAV2_LOCUS42, gene-TAV2_LOCUS9345, gene-TAV2_LOCUS6919, gene-TAV2_LOCUS5822, gene-TAV2_LOCUS9022, gene-TAV2_LOCUS45, gene-TAV2_LOCUS4072, gene-TAV2_LOCUS18741, gene-TAV2_LOCUS24535, gene-TAV2_LOCUS17968, gene-TAV2_LOCUS24536, gene-TAV2_LOCUS23000, gene-TAV2_LOCUS18740, gene-TAV2_LOCUS16073, gene-TAV2_LOCUS16076, gene-TAV2_LOCUS18936, gene-TAV2_LOCUS9338, gene-TAV2_LOCUS9023, gene-TAV2_LOCUS6176, gene-TAV2_LOCUS23401, gene-TAV2_LOCUS4071, gene-TAV2_LOCUS46, gene-TAV2_LOCUS6179, gene-TAV2_LOCUS10134, gene-TAV2_LOCUS8971, gene-TAV2_LOCUS18746, gene-TAV2_LOCUS16075, gene-TAV2_LOCUS24537, gene-TAV2_LOCUS6178, gene-TAV2_LOCUS18935, gene-TAV2_LOCUS9339, gene-TAV2_LOCUS10135, gene-TAV2_LOCUS4074, gene-TAV2_LOCUS10417
N0.HOG0000059	OG0000016	n2	Aa31LG2G9310	AT1G61370.1	CARHR051240.1		
N0.HOG0000060	OG0000016	n4	Aa31LG1G3470	AT1G11280.1		Carub.0001s1090.1.p	gene-TAV2_LOCUS1750
N0.HOG0000061	OG0000016	n7	Aa31LG1G3480	AT1G61390.1, AT1G61380.1, AT1G61500.3, AT1G61550.1, AT1G61480.1, AT1G61460.1, AT1G61420.2, AT1G61490.4, AT1G61440.2, AT1G61400.2, AT1G61430.1, AT1G61360.1	CARHR051140.1, CARHR051160.1, CARHR051210.1, CARHR050950.1, CARHR050960.1, CARHR055150.1, CARHR050860.1, CARHR051120.1, CARHR051090.1, CARHR051110.1, CARHR050970.1, CARHR050980.1, CARHR051100.1, CARHR050990.1, CARHR041200.1, CARHR051060.1, CARHR050930.1, CARHR051230.1, CARHR011520.1	Carub.0002s0379.1.p, Carub.0002s0380.1.p, Carub.0002s0372.1.p, Carub.0002s0367.1.p, Carub.0002s0374.1.p, Carub.0002s0375.1.p, Carub.0002s0373.1.p, Carub.0002s0378.1.p	gene-TAV2_LOCUS6077, gene-TAV2_LOCUS8079, gene-TAV2_LOCUS4797, gene-TAV2_LOCUS6072, gene-TAV2_LOCUS6070, gene-TAV2_LOCUS6069, gene-TAV2_LOCUS6074, gene-TAV2_LOCUS8078, gene-TAV2_LOCUS1755
N0.HOG0000062	OG0000017	n0	Aa31sc64G60, Aa31LG7G11910, Aa31sc407G20, Aa31LG7G11900, Aa31sc168G20, Aa31sc434G30, Aa31sc163G10, Aa31csc310G50, Aa31LG1G9560, Aa31sc136G60, Aa31sc222G70, Aa31LG8G11270, Aa31sc649G10, Aa31LG8G8800, Aa31LG3G3240, Aa31LG8G8790, Aa31LG5G21250, Aa31LG7G10450, Aa31LG7G14920, Aa31sc105G100, Aa31LG6G3780, Aa31sc17G70, Aa31sc79G30, Aa31LG6G10950, Aa31LG9G4660, Aa31LG3G5650, Aa31sc187G20, Aa31sc441G30, Aa31sc149G50, Aa31LG3G6220, Aa31sc852G10, Aa31LG1G7830, Aa31LG10G11540, Aa31sc111G10, Aa31LG3G5470, Aa31sc79G40, Aa31LG2G19810, Aa31LG6G10120, Aa31LG1G7790, Aa31sc165G20, Aa31sc147G30, Aa31sc222G80, Aa31sc534G20, Aa31LG11G8260, Aa31sc914G60, Aa31sc281G10, Aa31sc472G40, Aa31sc917G10, Aa31LG11G8630, Aa31LG7G12920, Aa31LG9G4930, Aa31csc1938G10, Aa31LG2G18120, Aa31LG4G12870, Aa31LG11G7850, Aa31sc62G40				
N0.HOG0000063	OG0000018	n0					gene-TAV2_LOCUS25370, gene-TAV2_LOCUS22077, gene-TAV2_LOCUS17715, gene-TAV2_LOCUS17736, gene-TAV2_LOCUS12247, gene-TAV2_LOCUS17520, gene-TAV2_LOCUS10939, gene-TAV2_LOCUS18778, gene-TAV2_LOCUS5721, gene-TAV2_LOCUS9561, gene-TAV2_LOCUS25365, gene-TAV2_LOCUS20523, gene-TAV2_LOCUS19623, gene-TAV2_LOCUS15891, gene-TAV2_LOCUS23888, gene-TAV2_LOCUS7152, gene-TAV2_LOCUS2016, gene-TAV2_LOCUS3909, gene-TAV2_LOCUS17531, gene-TAV2_LOCUS19622, gene-TAV2_LOCUS15741, gene-TAV2_LOCUS4482, gene-TAV2_LOCUS25330, gene-TAV2_LOCUS24664, gene-TAV2_LOCUS2006, gene-TAV2_LOCUS18850, gene-TAV2_LOCUS8919, gene-TAV2_LOCUS14383, gene-TAV2_LOCUS21968, gene-TAV2_LOCUS9084, gene-TAV2_LOCUS11646, gene-TAV2_LOCUS11273, gene-TAV2_LOCUS22144, gene-TAV2_LOCUS17172, gene-TAV2_LOCUS10936, gene-TAV2_LOCUS9343, gene-TAV2_LOCUS20313, gene-TAV2_LOCUS2419, gene-TAV2_LOCUS3868, gene-TAV2_LOCUS9383, gene-TAV2_LOCUS15894, gene-TAV2_LOCUS6678, gene-TAV2_LOCUS9800, gene-TAV2_LOCUS19193, gene-TAV2_LOCUS24343, gene-TAV2_LOCUS9843, gene-TAV2_LOCUS24656, gene-TAV2_LOCUS25216, gene-TAV2_LOCUS8097, gene-TAV2_LOCUS7654, gene-TAV2_LOCUS14282, gene-TAV2_LOCUS20291
N0.HOG0000064	OG0000019	n1	Aa31LG10G9290, Aa31LG5G23110	AT2G37620.1, AT3G53750.2	CARHR131960.1	Carub.0005s2033.1.p, Carub.0004s1955.1.p	gene-TAV2_LOCUS15570
N0.HOG0000065	OG0000019	n12	Aa31LG8G5620, Aa31LG8G5610	AT2G42090.1, AT2G42170.3, AT2G42100.1, AT3G18780.3, AT1G49240.1	CARHR137630.1, CARHR137640.1, CARHR094190.1	Carub.0004s2443.1.p, Carub.0004s2444.1.p, Carub.0003s1860.1.p, Carub.0001s3843.1.p	gene-TAV2_LOCUS13241, gene-TAV2_LOCUS12944, gene-TAV2_LOCUS13242, gene-TAV2_LOCUS1151, gene-TAV2_LOCUS9890
N0.HOG0000066	OG0000019	n29	Aa31LG3G17300	AT5G09810.1	CARHR203590.1	Carub.0006s0823.1.p	gene-TAV2_LOCUS2828, gene-TAV2_LOCUS22228
N0.HOG0000067	OG0000019	n34		AT3G12110.1	CARHR086670.1, CARHR050240.1	Carub.0003s1145.1.p	gene-TAV2_LOCUS9671
N0.HOG0000068	OG0000019	n38	Aa31LG4G15530, Aa31sc23G450	AT5G59370.2, AT3G46520.2	CARHR285740.1, CARHR285720.1, CARHR155280.1, CARHR155270.1	Carub.0008s2004.1.p, Carub.0005s1279.1.p	gene-TAV2_LOCUS21129, gene-TAV2_LOCUS17770
N0.HOG0000069	OG0000020	n0	Aa31LG3G2120	AT5G46520.2, AT5G46510.1, AT5G46270.4, AT1G31540.2, AT5G46490.2, AT5G46260.1, AT5G40060.1, AT5G46470.1, AT5G46450.1, AT4G08450.1, AT5G22690.2	CARHR289520.1, CARHR116310.1, CARHR116330.1, CARHR175280.1, CARHR175820.1, CARHR174840.1, CARHR175240.1, CARHR175840.1, CARHR175230.1, CARHR292230.1, CARHR031700.1, CARHR175290.1, CARHR175260.1, CARHR065810.1, CARHR175070.1, CARHR108300.1, CARHR175060.1, CARHR175300.1, CARHR175100.1, CARHR181440.1, CARHR175140.1, CARHR181450.1, CARHR175130.1, CARHR048040.1	Carub.0008s0164.1.p, Carub.0008s0627.1.p, Carub.0008s1088.1.p, Carub.0008s0144.1.p, Carub.0008s0143.1.p, Carub.0008s0141.1.p, Carub.0008s0650.1.p, Carub.0008s0142.1.p, Carub.0008s0139.1.p, Carub.0006s2040.1.p	gene-TAV2_LOCUS7172, gene-TAV2_LOCUS25532, gene-TAV2_LOCUS12506, gene-TAV2_LOCUS16600
N0.HOG0000070	OG0000021	n2	Aa31LG5G19030	AT5G17970.1	CARHR116350.1, CARHR175180.1, CARHR195140.1, CARHR195150.1, CARHR195100.1, CARHR195110.1		
N0.HOG0000071	OG0000021	n9	Aa31LG5G14390, Aa31LG6G4110, Aa31LG6G4250, Aa31LG6G4060, Aa31LG6G4090, Aa31LG6G4260, Aa31LG6G4220, Aa31LG6G4190, Aa31LG6G4080, Aa31LG6G4130	AT3G25505.1, AT1G65850.2, AT5G38350.1, AT5G38340.1, AT5G11250.2, AT1G69550.1, AT3G04220.3, AT5G44510.1	CARHR148560.1, CARHR202050.1, CARHR294530.1	Carub.0003s2583.1.p, Carub.0007s3773.1.p, Carub.0002s1620.1.p, Carub.0002s1622.1.p, Carub.0002s1621.1.p, Carub.0002s0705.1.p	
N0.HOG0000072	OG0000021	n35	Aa31LG6G4210	AT1G57650.1, AT3G25510.1, AT3G44670.2, AT3G44400.4, AT3G44630.3, AT3G44480.3, AT2G14080.1	CARHR054580.1, CARHR054550.1, CARHR054640.1, CARHR151520.1	Carub.0002s0700.1.p, Carub.0002s0699.1.p, Carub.0002s1260.1.p	
N0.HOG0000073	OG0000022	n0	Aa31sc88G60	AT5G44495.1, AT2G24205.1, AT5G60964.1, AT5G60945.1, AT5G51105.1, AT4G09545.1, AT5G42895.1, AT3G42565.1, AT5G36320.1, AT5G36739.1, AT5G36662.1, AT5G36738.1, AT5G36661.1, AT5G36659.1, AT5G36658.1, AT5G36657.1, AT5G36370.1, AT5G36310.1, AT5G36340.1, AT5G36540.1, AT5G36330.1, AT5G36520.1, AT5G36550.1, AT5G36460.1, AT5G36410.1, AT5G36400.1, AT5G36380.1, AT5G36420.1, AT5G36360.1, AT5G36450.1, AT5G36430.1, AT5G36390.1, AT5G36440.1, AT5G36470.1, AT5G36350.1, AT5G36490.1, AT5G36500.1, AT5G36480.1	CARHR274670.1, CARHR256970.1, CARHR256980.1, CARHR181480.1, CARHR181490.1, CARHR274650.1, CARHR187420.1, CARHR283690.1, CARHR042770.1, CARHR016560.1, CARHR274680.1		
N0.HOG0000074	OG0000023	n0		AT3G58860.1, AT3G58900.4, AT3G58880.1, AT3G59000.1, AT5G38396.1, AT4G13960.2, AT1G52650.1, AT5G38391.1, AT5G38386.2, AT5G38390.1, AT3G58820.1, AT3G58950.1, AT3G58940.1, AT3G58930.1, AT3G03040.1, AT3G03030.1	CARHR169280.1, CARHR169400.1, CARHR169290.1, CARHR136780.1, CARHR214200.1, CARHR169340.1, CARHR217340.1, CARHR186450.1, CARHR286030.1, CARHR169300.1, CARHR169310.1	Carub.0005s2565.1.p, Carub.0005s2566.1.p, Carub.0005s2595.1.p, Carub.0007s3763.1.p, Carub.0007s3762.1.p, Carub.0007s3169.1.p, Carub.0007s3170.1.p, Carub.0007s3423.1.p, Carub.0007s3764.1.p, Carub.0007s3768.1.p, Carub.0007s3765.1.p, Carub.0005s2560.1.p, Carub.0005s2741.1.p, Carub.0005s2569.1.p, Carub.0005s2568.1.p, Carub.0003s0219.1.p, Carub.0003s0218.1.p	gene-TAV2_LOCUS11193, gene-TAV2_LOCUS13704, gene-TAV2_LOCUS16625, gene-TAV2_LOCUS891, gene-TAV2_LOCUS2447, gene-TAV2_LOCUS17412
N0.HOG0000075	OG0000024	n3	Aa31LG3G16790	AT5G65350.1, AT1G09200.1, AT3G27360.1, AT5G65360.1, AT5G10400.1, AT5G10390.1	CARHR009160.1, CARHR202900.1, CARHR202910.1, CARHR279310.1, CARHR279320.1	Carub.0005s0567.1.p, Carub.0001s0853.1.p, Carub.0002s0124.1.p, Carub.0006s0887.1.p, Carub.0006s0886.1.p	gene-TAV2_LOCUS5778
N0.HOG0000076	OG0000024	n7	Aa31LG1G16640, Aa31LG3G16750, Aa31sc47G10, Aa31LG3G16780	AT5G12910.1		Carub.0001s2351.1.p	
N0.HOG0000077	OG0000024	n11	Aa31LG7G4390	AT4G40030.2, AT1G19890.1		Carub.0001s1941.1.p	
N0.HOG0000078	OG0000024	n14	Aa31LG3G16150, Aa31LG4G5830, Aa31LG6G15180, Aa31LG6G15190	AT4G40040.3, AT5G10980.1, AT1G13370.1, AT1G75600.1	CARHR202310.1, CARHR246630.1, CARHR246640.1, CARHR068990.1, CARHR096450.1, CARHR058350.1, CARHR069000.1	Carub.0007s0200.1.p, Carub.0007s0201.1.p, Carub.0002s2245.1.p, Carub.0006s0948.1.p	gene-TAV2_LOCUS20921, gene-TAV2_LOCUS18110
N0.HOG0000079	OG0000025	n1	Aa31LG1G2610, Aa31sc200G60	ATMG01250.1			
N0.HOG0000080	OG0000025	n4	Aa31LG2G6440, Aa31LG1G13000, Aa31LG4G19050, Aa31sc404G30, Aa31LG6G11240, Aa31LG7G1610, Aa31sc466G10, Aa31sc62G10, Aa31LG1G3820, Aa31LG3G5620, Aa31sc1050G10, Aa31sc118G40, Aa31LG4G11770, Aa31LG1G1440, Aa31sc380G60, Aa31LG7G9420, Aa31sc25G150, Aa31sc369G20, Aa31sc730G50, Aa31LG10G16090, Aa31LG11G4790, Aa31LG7G3480, Aa31LG1G4840, Aa31sc314G40, Aa31LG2G17780, Aa31LG2G12260, Aa31LG7G12700, Aa31sc324G40, Aa31LG10G8740				gene-TAV2_LOCUS6442, gene-TAV2_LOCUS25214, gene-TAV2_LOCUS10771, gene-TAV2_LOCUS23968, gene-TAV2_LOCUS24243, gene-TAV2_LOCUS20248, gene-TAV2_LOCUS20980, gene-TAV2_LOCUS4980
N0.HOG0000081	OG0000025	n40	Aa31LG1G2520, Aa31LG8G16480	AT5G33330.1, AT4G03040.1, AT1G66045.1			gene-TAV2_LOCUS6631, gene-TAV2_LOCUS20595, gene-TAV2_LOCUS23726
N0.HOG0000082	OG0000026	n1	Aa31LG5G4190	AT2G33050.1	CARHR126950.1, CARHR126970.1	Carub.0004s1453.1.p	
N0.HOG0000083	OG0000026	n5	Aa31sc351G50	AT2G32660.2, AT2G33060.1, AT2G25440.1, AT2G33030.1, AT2G33020.1, AT2G32680.1, AT3G24900.2, AT3G25010.2, AT3G24982.1, AT3G25020.1, AT2G33080.1	CARHR126520.1, CARHR127300.1, CARHR126770.1, CARHR127090.1, CARHR262160.1, CARHR116000.1, CARHR127050.1, CARHR127020.1, CARHR253920.1, CARHR127070.1, CARHR127010.1, CARHR126990.1, CARHR127040.1, CARHR116010.1, CARHR175550.1, CARHR126570.1, CARHR126060.1, CARHR126550.1	Carub.0004s1400.1.p, Carub.0004s1492.1.p, Carub.0004s1404.1.p, Carub.0003s2713.1.p, Carub.0003s2530.1.p, Carub.0003s2529.1.p, Carub.0003s2534.1.p, Carub.0003s2531.1.p, Carub.0003s2533.1.p, Carub.0148s0001.1.p, Carub.0003s2532.1.p, Carub.0004s1403.1.p	gene-TAV2_LOCUS13591
N0.HOG0000084	OG0000027	n1	Aa31LG1G25320	AT2G43610.1, AT1G56680.2, AT2G43600.2	CARHR138780.1, CARHR138770.1	Carub.0004s2614.1.p, Carub.0004s2613.1.p	gene-TAV2_LOCUS12786
N0.HOG0000085	OG0000027	n10		AT2G43620.1	CARHR138790.1, CARHR138800.1	Carub.0004s2615.1.p	gene-TAV2_LOCUS12787
N0.HOG0000086	OG0000027	n16	Aa31LG1G25310	AT2G43590.1, AT3G47540.2, AT2G43580.1	CARHR138760.1, CARHR138750.1, CARHR138740.1, CARHR138720.1	Carub.0004s2611.1.p, Carub.0005s1364.1.p, Carub.0004s2612.1.p, Carub.0004s2610.1.p, Carub.0001s3243.1.p, Carub.0004s2608.1.p	gene-TAV2_LOCUS12781, gene-TAV2_LOCUS12780, gene-TAV2_LOCUS13737, gene-TAV2_LOCUS13739, gene-TAV2_LOCUS12782, gene-TAV2_LOCUS12215
N0.HOG0000087	OG0000027	n35	Aa31LG1G25330	AT3G54420.1, AT2G43570.1	CARHR164320.1, CARHR138700.1, CARHR138730.1	Carub.0005s2102.1.p, Carub.0004s2606.1.p, Carub.0004s2609.1.p	gene-TAV2_LOCUS16253, gene-TAV2_LOCUS14544, gene-TAV2_LOCUS12783
N0.HOG0000088	OG0000028	n1	Aa31LG4G940	AT1G80660.1	CARHR073860.1	Carub.0002s2690.1.p	
N0.HOG0000089	OG0000028	n6	Aa31LG4G13340	AT3G42640.1	CARHR153650.1	Carub.0016s0001.1.p	
N0.HOG0000090	OG0000028	n9	Aa31LG8G11610	AT2G07560.1	CARHR104060.1	Carub.0013s0011.1.p	
N0.HOG0000091	OG0000028	n14		AT2G24520.2	CARHR117520.1	Carub.0004s0388.1.p	
N0.HOG0000092	OG0000028	n17	Aa31LG7G2070	AT1G17260.1	CARHR017850.1	Carub.0001s1701.1.p	
N0.HOG0000093	OG0000028	n21	Aa31LG1G26410, Aa31LG10G14440	AT3G60330.4	CARHR170650.1	Carub.0005s2708.1.p	
N0.HOG0000094	OG0000028	n25	Aa31LG4G16600	AT5G62670.1, AT3G47950.1	CARHR276470.1, CARHR156670.1	Carub.0008s2342.1.p, Carub.0005s1407.1.p	
N0.HOG0000095	OG0000028	n32	Aa31LG3G13230	AT4G11730.1, AT5G57350.1	CARHR254640.1, CARHR271150.1	Carub.0007s2979.1.p, Carub.0006s3082.1.p, Carub.0008s1787.1.p	
N0.HOG0000096	OG0000028	n40	Aa31LG2G20340	AT4G30190.2	CARHR238090.1	Carub.0007s1042.1.p	
N0.HOG0000097	OG0000028	n43	Aa31LG8G16050	AT2G18960.1	CARHR109500.1	Carub.0003s3319.1.p	
N0.HOG0000098	OG0000029	n0	Aa31LG10G9950, Aa31LG3G3470, Aa31LG8G15330, Aa31LG10G12960, Aa31sc1608G10, Aa31LG6G10530, Aa31LG9G5360, Aa31sc329G10, Aa31LG6G2580, Aa31LG8G1830, Aa31LG7G13300, Aa31sc110G60, Aa31LG11G7900, Aa31LG6G8950, Aa31LG8G10740, Aa31LG8G15350, Aa31sc129G80, Aa31LG11G7930, Aa31LG9G1970, Aa31LG2G11170	AT5G28615.1, AT4G04650.1, AT1G43730.1, AT2G02520.1, AT3G25727.1, AT5G16486.1, AT1G34440.1, AT1G29005.1, AT3G27590.1, AT4G05095.1, AT1G44941.1, AT5G18880.1		Carub.0005s2988.1.p, Carub.0006s0619.1.p, Carub.0003s3092.1.p, Carub.0004s0212.1.p, Carub.0001s4199.1.p, Carub.0003s2082.1.p, Carub.0002s0853.1.p, Carub.0005s2375.1.p, Carub.0005s1087.1.p	gene-TAV2_LOCUS12430, gene-TAV2_LOCUS6008, gene-TAV2_LOCUS10608, gene-TAV2_LOCUS23886, gene-TAV2_LOCUS18454, gene-TAV2_LOCUS23426
N0.HOG0000099	OG0000030	n0		AT3G12240.1, AT3G12230.1, AT3G12203.1, AT2G22920.2, AT2G22970.3, AT2G23010.1, AT2G22990.3, AT2G23000.1, AT2G22980.4, AT3G10450.1, AT1G73270.1, AT1G73290.1, AT1G73310.1, AT1G73280.1, AT1G73300.1, AT5G36180.1, AT1G33540.1, AT3G12220.1	CARHR086790.1, CARHR292790.1, CARHR292800.1, CARHR292760.1, CARHR257100.1, CARHR292750.1, CARHR084950.1, CARHR066300.1, CARHR066310.1, CARHR066320.1, CARHR066340.1, CARHR066360.1, CARHR066290.1, CARHR066330.1, CARHR032990.1, CARHR196560.1	Carub.0003s1159.1.p, Carub.0003s1717.1.p	gene-TAV2_LOCUS1676, gene-TAV2_LOCUS11557, gene-TAV2_LOCUS11556, gene-TAV2_LOCUS11563, gene-TAV2_LOCUS12934, gene-TAV2_LOCUS12933, gene-TAV2_LOCUS10371, gene-TAV2_LOCUS16252, gene-TAV2_LOCUS17184, gene-TAV2_LOCUS71, gene-TAV2_LOCUS609
N0.HOG0000100	OG0000031	n0			CARHR176380.1, CARHR176370.1	Carub.0008s0239.1.p	gene-TAV2_LOCUS25949, gene-TAV2_LOCUS24631, gene-TAV2_LOCUS24632, gene-TAV2_LOCUS19403, gene-TAV2_LOCUS21923, gene-TAV2_LOCUS19402, gene-TAV2_LOCUS19401, gene-TAV2_LOCUS21922, gene-TAV2_LOCUS21921, gene-TAV2_LOCUS21918, gene-TAV2_LOCUS19404, gene-TAV2_LOCUS8070, gene-TAV2_LOCUS14947, gene-TAV2_LOCUS19406, gene-TAV2_LOCUS1646, gene-TAV2_LOCUS14405, gene-TAV2_LOCUS14557, gene-TAV2_LOCUS13996, gene-TAV2_LOCUS13375, gene-TAV2_LOCUS14407, gene-TAV2_LOCUS14590, gene-TAV2_LOCUS10438, gene-TAV2_LOCUS14571, gene-TAV2_LOCUS1408, gene-TAV2_LOCUS12965, gene-TAV2_LOCUS12819, gene-TAV2_LOCUS14569, gene-TAV2_LOCUS13552, gene-TAV2_LOCUS13781, gene-TAV2_LOCUS7457, gene-TAV2_LOCUS14716, gene-TAV2_LOCUS12723, gene-TAV2_LOCUS13995, gene-TAV2_LOCUS12971, gene-TAV2_LOCUS12970, gene-TAV2_LOCUS12964, gene-TAV2_LOCUS13376, gene-TAV2_LOCUS12972, gene-TAV2_LOCUS11802, gene-TAV2_LOCUS14404, gene-TAV2_LOCUS14406, gene-TAV2_LOCUS3085, gene-TAV2_LOCUS14717
N0.HOG0000101	OG0000032	n0		AT1G11270.2, AT1G14315.2, AT1G15015.1, AT2G34280.1, AT4G01640.1, AT5G10340.1, AT5G16285.1, AT1G12490.1, AT1G09650.1	CARHR292150.1, CARHR011460.1, CARHR099040.1, CARHR125670.1, CARHR124000.1, CARHR125660.1, CARHR202500.1, CARHR014740.1, CARHR014880.1, CARHR008660.1, CARHR024930.1, CARHR008650.1, CARHR010320.1, CARHR119930.1, CARHR265670.1	Carub.0001s1342.1.p, Carub.0345s0001.1.p, Carub.0003s2506.1.p, Carub.0006s0880.1.p, Carub.0006s1692.1.p, Carub.0001s1404.1.p, Carub.0001s2401.1.p, Carub.0008s0923.1.p	gene-TAV2_LOCUS203, gene-TAV2_LOCUS3216, gene-TAV2_LOCUS3900, gene-TAV2_LOCUS265, gene-TAV2_LOCUS264, gene-TAV2_LOCUS1254, gene-TAV2_LOCUS1286, gene-TAV2_LOCUS3419, gene-TAV2_LOCUS13211, gene-TAV2_LOCUS3064, gene-TAV2_LOCUS938, gene-TAV2_LOCUS3581, gene-TAV2_LOCUS3582
N0.HOG0000102	OG0000033	n1		AT3G25490.1		Carub.0001s2070.1.p, Carub.0007s3018.1.p	
N0.HOG0000103	OG0000033	n4	Aa31LG1G7880, Aa31LG9G8390, Aa31sc149G20, Aa31LG6G9680, Aa31sc149G10, Aa31LG6G9650, Aa31LG3G1720, Aa31LG7G5270, Aa31LG6G11950, Aa31LG9G4760, Aa31sc132G40, Aa31LG6G9670, Aa31LG7G10280, Aa31LG2G18330		CARHR021660.1, CARHR021670.1		gene-TAV2_LOCUS15918
N0.HOG0000104	OG0000033	n20	Aa31LG7G5320	AT1G21270.1, AT1G21230.1, AT1G21250.1, AT1G21240.1, AT1G21245.1, AT1G21210.1	CARHR059110.1, CARHR181980.1, CARHR256500.1, CARHR146970.1, CARHR021680.1, CARHR116570.1, CARHR021690.1, CARHR181970.1	Carub.0001s2065.1.p, Carub.0001s2066.1.p, Carub.0001s2067.1.p, Carub.0001s2064.1.p	gene-TAV2_LOCUS2687, gene-TAV2_LOCUS3301, gene-TAV2_LOCUS2844, gene-TAV2_LOCUS3300, gene-TAV2_LOCUS8645
N0.HOG0000105	OG0000034	n1	Aa31LG4G16040	AT5G20480.2, AT5G39390.1, AT3G47110.1	CARHR192330.1, CARHR192340.1, CARHR262970.1	Carub.0219s0001.1.p, Carub.0006s1881.1.p, Carub.0008s0324.1.p	gene-TAV2_LOCUS20882
N0.HOG0000106	OG0000034	n11	Aa31LG4G16030, Aa31LG4G14510, Aa31LG4G14430, Aa31LG4G14480, Aa31LG4G14440, Aa31LG4G14460, Aa31LG4G14500, Aa31LG4G14420, Aa31LG4G14450, Aa31LG4G14530, Aa31LG4G14470, Aa31LG4G14490	AT3G47570.1, AT3G47580.1, AT3G47090.1	CARHR152670.1, CARHR155720.1, CARHR156220.1, CARHR156270.1, CARHR155740.1, CARHR156240.1, CARHR155710.1, CARHR155700.1	Carub.0008s1038.1.p, Carub.0005s1367.1.p, Carub.0005s1371.1.p, Carub.0005s1372.1.p, Carub.0005s1333.1.p, Carub.0005s1366.1.p, Carub.0005s1370.1.p, Carub.0004s1293.1.p, Carub.0004s1294.1.p	gene-TAV2_LOCUS8103
N0.HOG0000107	OG0000035	n0		AT1G66090.1	CARHR055030.1, CARHR048010.1, CARHR263760.1, CARHR047510.1, CARHR047430.1, CARHR047470.1, CARHR047540.1, CARHR288070.1, CARHR047500.1, CARHR047450.1, CARHR047440.1, CARHR261260.1, CARHR288080.1, CARHR047460.1, CARHR047580.1, CARHR047730.1, CARHR047710.1, CARHR051270.1, CARHR051250.1, CARHR051280.1, CARHR048030.1, CARHR048060.1, CARHR048000.1, CARHR048070.1, CARHR048510.1, CARHR047060.1, CARHR149280.1, CARHR050870.1, CARHR263750.1, CARHR183030.1, CARHR047230.1, CARHR047960.1, CARHR048450.1, CARHR047140.1, CARHR047080.1, CARHR047210.1, CARHR047090.1, CARHR047120.1, CARHR047170.1, CARHR047180.1, CARHR047300.1, CARHR047100.1, CARHR047270.1		
