ATfeature,refGene,Aar,Ath,Bra,Chi,Cru,Csa,Sal,Tar
AT1G32140,AT1G32140.1,,"AT1G24800.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G25211.1, AT1G32140.1, AT1G54550.1, AT1G66490.1, AT1G67450.1, AT2G17830.1, AT2G18780.1, AT3G13680.1, AT3G13820.1, AT3G16740.1, AT3G16820.1, AT3G16880.1, AT3G17320.1, AT3G17620.1, AT3G19560.1, AT3G19890.1, AT3G20030.1, AT3G24580.1, AT3G49510.1, AT3G49520.1, AT4G05080.1, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G42460.1, AT5G51000.1, AT5G60560.2",,"CARHR088590.1, CARHR158510.1, CARHR158520.1, CARHR260760.1, CARHR260790.1","Carub.0001s2537.1.p, Carub.0001s2538.1.p, Carub.0001s3046.1.p, Carub.0005s1584.1.p",,,
AT1G54550,AT1G54550.1,,"AT1G24800.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G25211.1, AT1G32140.1, AT1G54550.1, AT1G66490.1, AT1G67450.1, AT2G17830.1, AT2G18780.1, AT3G13680.1, AT3G13820.1, AT3G16740.1, AT3G16820.1, AT3G16880.1, AT3G17320.1, AT3G17620.1, AT3G19560.1, AT3G19890.1, AT3G20030.1, AT3G24580.1, AT3G49510.1, AT3G49520.1, AT4G05080.1, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G42460.1, AT5G51000.1, AT5G60560.2",,"CARHR088590.1, CARHR158510.1, CARHR158520.1, CARHR260760.1, CARHR260790.1","Carub.0001s2537.1.p, Carub.0001s2538.1.p, Carub.0005s1584.1.p",,,
AT1G62270,AT1G62270.1,,"AT1G62270.1, AT2G04920.1, AT2G17830.1, AT2G27520.1, AT3G16740.1, AT3G17320.1, AT3G17480.1, AT3G17490.1, AT3G17500.1, AT3G17620.1, AT3G22350.1, AT3G22700.1, AT3G22720.1, AT3G22730.1, AT3G49980.2, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1",,,"Carub.0002s0273.1.p, Carub.0003s1721.1.p, Carub.0003s2666.1.p, Carub.0004s0830.1.p, Carub.0005s1634.1.p, Carub.0006s2841.1.p",,,
AT1G66490,AT1G66490.1,,"AT1G24800.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G25211.1, AT1G32140.1, AT1G54550.1, AT1G66490.1, AT1G67450.1, AT2G17830.1, AT2G18780.1, AT3G13680.1, AT3G13820.1, AT3G16740.1, AT3G16820.1, AT3G16880.1, AT3G17320.1, AT3G17620.1, AT3G19560.1, AT3G19890.1, AT3G20030.1, AT3G20700.1, AT3G24580.1, AT3G49510.1, AT3G49520.1, AT4G05080.1, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G42460.1, AT5G51000.1, AT5G60560.2",,"CARHR088590.1, CARHR158510.1, CARHR158520.1, CARHR260760.1, CARHR260790.1","Carub.0001s2537.1.p, Carub.0001s2538.1.p, Carub.0003s1661.1.p, Carub.0005s1584.1.p",,,
AT1G67450,AT1G67450.1,,"AT1G24800.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G25211.1, AT1G32140.1, AT1G54550.1, AT1G66490.1, AT1G67450.1, AT2G17830.1, AT2G18780.1, AT3G13680.1, AT3G13820.1, AT3G16740.1, AT3G16820.1, AT3G16880.1, AT3G17320.1, AT3G17620.1, AT3G19560.1, AT3G19890.1, AT3G20030.1, AT3G24580.1, AT3G49510.1, AT3G49520.1, AT4G05080.1, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G42460.1, AT5G51000.1, AT5G60560.2",,"CARHR059990.1, CARHR060010.1, CARHR088590.1, CARHR158510.1, CARHR158520.1, CARHR260760.1, CARHR260790.1","Carub.0001s2537.1.p, Carub.0001s2538.1.p, Carub.0002s1378.1.p, Carub.0005s1584.1.p",,,
AT1G67455,AT1G67455.1,,,,,,,,
FBX9,AT2G04920.1,,"AT1G62270.1, AT2G04920.1, AT3G17480.1, AT3G17490.1, AT3G17500.1, AT3G22350.1, AT3G22700.1, AT3G22710.1, AT3G22720.1, AT3G22730.1, AT3G25460.1, AT5G47300.1, AT5G51000.1",,"CARHR092830.1, CARHR099690.1, CARHR120060.1, CARHR151680.1","Carub.0002s0776.1.p, Carub.0003s2286.1.p, Carub.0003s2652.1.p, Carub.0003s2653.1.p, Carub.0003s2655.1.p, Carub.0003s2657.1.p, Carub.0003s2730.1.p",,,
AT2G07140,AT2G07140.1,,"AT2G07140.1, AT3G18330.1, AT3G18910.1, AT3G18980.1, AT3G19410.1, AT3G44120.1",,,"Carub.0003s1813.1.p, Carub.0003s1874.1.p",,,
AT2G17830,AT2G17830.1,,"AT1G24800.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G25211.1, AT1G32140.1, AT1G54550.1, AT1G62270.1, AT1G66490.1, AT1G67450.1, AT2G17830.1, AT2G18780.1, AT2G27520.1, AT3G13680.1, AT3G13820.1, AT3G16740.1, AT3G16820.1, AT3G16880.1, AT3G17320.1, AT3G17620.1, AT3G19560.1, AT3G19890.1, AT3G20030.1, AT3G24580.1, AT3G49510.1, AT3G49520.1, AT3G49980.2, AT4G05080.1, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G42460.1, AT5G51000.1, AT5G60560.2",,"CARHR088590.1, CARHR092620.1, CARHR092630.1, CARHR108320.1, CARHR135370.1, CARHR158510.1, CARHR158520.1, CARHR260760.1, CARHR260790.1","Carub.0001s1047.1.p, Carub.0001s2537.1.p, Carub.0001s2538.1.p, Carub.0001s3510.1.p, Carub.0002s0302.1.p, Carub.0002s0645.1.p, Carub.0003s1313.1.p, Carub.0003s1362.1.p, Carub.0003s1703.1.p, Carub.0003s1760.1.p, Carub.0003s1761.1.p, Carub.0003s1975.1.p, Carub.0003s1995.1.p, Carub.0003s3197.1.p, Carub.0004s0830.1.p, Carub.0005s1584.1.p, Carub.0005s1634.1.p, Carub.0005s2337.1.p, Carub.0008s1500.1.p",,,
AT2G18780,AT2G18780.1,,"AT1G24800.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G25211.1, AT1G32140.1, AT1G54550.1, AT1G66490.1, AT1G67450.1, AT2G17830.1, AT2G18780.1, AT3G13680.1, AT3G13820.1, AT3G16740.1, AT3G16820.1, AT3G16880.1, AT3G17320.1, AT3G17620.1, AT3G19560.1, AT3G19890.1, AT3G20030.1, AT3G24580.1, AT3G49510.1, AT3G49520.1, AT4G05080.1, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G42460.1, AT5G51000.1, AT5G60560.2",,"CARHR088590.1, CARHR158510.1, CARHR158520.1, CARHR260760.1, CARHR260790.1","Carub.0001s2537.1.p, Carub.0001s2538.1.p, Carub.0005s1584.1.p",,,
AT2G27520,AT2G27520.1,,"AT1G62270.1, AT2G17830.1, AT2G27520.1, AT3G16740.1, AT3G17320.1, AT3G17620.1, AT3G49980.2, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1",,CARHR120060.1,"Carub.0004s0830.1.p, Carub.0005s1634.1.p",,,
AT3G13680,AT3G13680.1,,"AT1G24800.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G25211.1, AT1G32140.1, AT1G54550.1, AT1G66490.1, AT1G67450.1, AT2G17830.1, AT2G18780.1, AT3G13680.1, AT3G13820.1, AT3G16740.1, AT3G16820.1, AT3G16880.1, AT3G17320.1, AT3G17620.1, AT3G19560.1, AT3G19890.1, AT3G20030.1, AT3G24580.1, AT3G49510.1, AT3G49520.1, AT4G05080.1, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G42460.1, AT5G51000.1, AT5G60560.2",,"CARHR088590.1, CARHR154640.1, CARHR158510.1, CARHR158520.1, CARHR260760.1, CARHR260790.1","Carub.0001s2537.1.p, Carub.0001s2538.1.p, Carub.0003s1310.1.p, Carub.0005s1584.1.p",,,
AT3G13820,AT3G13820.1,,"AT1G24800.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G25211.1, AT1G32140.1, AT1G54550.1, AT1G66490.1, AT1G67450.1, AT2G17830.1, AT2G18780.1, AT3G13680.1, AT3G13820.1, AT3G16740.1, AT3G16820.1, AT3G16880.1, AT3G17320.1, AT3G17620.1, AT3G19560.1, AT3G19890.1, AT3G20030.1, AT3G24580.1, AT3G49510.1, AT3G49520.1, AT4G05080.1, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G42460.1, AT5G51000.1, AT5G60560.2",,"CARHR088590.1, CARHR158510.1, CARHR158520.1, CARHR260760.1, CARHR260790.1","Carub.0001s2537.1.p, Carub.0001s2538.1.p, Carub.0005s1584.1.p",,,
AT3G13830,AT3G13830.1,,"AT1G11810.1, AT3G13830.1",,CARHR088600.1,Carub.0003s1337.1.p,,,
AT3G14030,AT3G14030.1,,AT3G14030.1,,CARHR088850.1,,,,
AT3G16740,AT3G16740.1,,"AT1G24800.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G25211.1, AT1G32140.1, AT1G54550.1, AT1G62270.1, AT1G66490.1, AT1G67450.1, AT2G17830.1, AT2G18780.1, AT2G27520.1, AT3G13680.1, AT3G13820.1, AT3G16740.1, AT3G16820.1, AT3G16880.1, AT3G17320.1, AT3G17620.1, AT3G19560.1, AT3G19890.1, AT3G20030.1, AT3G24580.1, AT3G49510.1, AT3G49520.1, AT3G49980.2, AT4G05080.1, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G42460.1, AT5G51000.1, AT5G60560.2",,"CARHR088590.1, CARHR092620.1, CARHR092630.1, CARHR108320.1, CARHR135370.1, CARHR158510.1, CARHR158520.1, CARHR260760.1, CARHR260790.1","Carub.0001s1047.1.p, Carub.0001s2537.1.p, Carub.0001s2538.1.p, Carub.0001s3510.1.p, Carub.0002s0302.1.p, Carub.0002s0645.1.p, Carub.0003s1313.1.p, Carub.0003s1362.1.p, Carub.0003s1703.1.p, Carub.0003s1760.1.p, Carub.0003s1761.1.p, Carub.0003s1975.1.p, Carub.0003s1995.1.p, Carub.0003s3197.1.p, Carub.0004s0830.1.p, Carub.0005s1584.1.p, Carub.0005s1634.1.p, Carub.0005s2337.1.p, Carub.0008s1500.1.p",,,
AT3G16820,AT3G16820.1,,"AT1G24800.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G25211.1, AT1G32140.1, AT1G54550.1, AT1G66490.1, AT1G67450.1, AT2G17830.1, AT2G18780.1, AT3G13680.1, AT3G13820.1, AT3G16740.1, AT3G16820.1, AT3G16880.1, AT3G17320.1, AT3G17620.1, AT3G19560.1, AT3G19890.1, AT3G20030.1, AT3G24580.1, AT3G49510.1, AT3G49520.1, AT4G05080.1, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G42460.1, AT5G51000.1, AT5G60560.2",,"CARHR088590.1, CARHR158510.1, CARHR158520.1, CARHR260760.1, CARHR260790.1","Carub.0001s2537.1.p, Carub.0001s2538.1.p, Carub.0005s1584.1.p",,,
AT3G16880,AT3G16880.1,,"AT1G24800.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G25211.1, AT1G32140.1, AT1G54550.1, AT1G66490.1, AT1G67450.1, AT2G17830.1, AT2G18780.1, AT3G13680.1, AT3G13820.1, AT3G16740.1, AT3G16820.1, AT3G16880.1, AT3G17320.1, AT3G17620.1, AT3G19560.1, AT3G19890.1, AT3G20030.1, AT3G20700.1, AT3G24580.1, AT3G49510.1, AT3G49520.1, AT4G05080.1, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G42460.1, AT5G51000.1, AT5G60560.2",,"CARHR088590.1, CARHR158510.1, CARHR158520.1, CARHR260760.1, CARHR260790.1","Carub.0001s2537.1.p, Carub.0001s2538.1.p, Carub.0003s1661.1.p, Carub.0005s1584.1.p",,,
AT3G17320,AT3G17320.1,,"AT1G24800.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G25211.1, AT1G32140.1, AT1G54550.1, AT1G62270.1, AT1G66490.1, AT1G67450.1, AT2G17830.1, AT2G18780.1, AT2G27520.1, AT3G13680.1, AT3G13820.1, AT3G16740.1, AT3G16820.1, AT3G16880.1, AT3G17320.1, AT3G17620.1, AT3G19560.1, AT3G19890.1, AT3G20030.1, AT3G24580.1, AT3G49510.1, AT3G49520.1, AT3G49980.2, AT4G05080.1, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G42460.1, AT5G51000.1, AT5G60560.2",,"CARHR088590.1, CARHR092620.1, CARHR092630.1, CARHR108320.1, CARHR135370.1, CARHR158510.1, CARHR158520.1, CARHR260760.1, CARHR260790.1","Carub.0001s1047.1.p, Carub.0001s2537.1.p, Carub.0001s2538.1.p, Carub.0001s3510.1.p, Carub.0002s0302.1.p, Carub.0002s0645.1.p, Carub.0003s1313.1.p, Carub.0003s1362.1.p, Carub.0003s1703.1.p, Carub.0003s1760.1.p, Carub.0003s1761.1.p, Carub.0003s1975.1.p, Carub.0003s1995.1.p, Carub.0003s3197.1.p, Carub.0004s0830.1.p, Carub.0005s1584.1.p, Carub.0005s1634.1.p, Carub.0005s2337.1.p, Carub.0008s1500.1.p",,,
AT3G17400,AT3G17400.1,,,,,,,,
AT3G17480,AT3G17480.1,,"AT1G62270.1, AT2G04920.1, AT3G17480.1, AT3G17490.1, AT3G17500.1, AT3G22350.1, AT3G22700.1, AT3G22720.1, AT3G22730.1",,,,,,
AT3G17490,AT3G17490.1,,"AT1G62270.1, AT2G04920.1, AT3G17480.1, AT3G17490.1, AT3G17500.1, AT3G22350.1, AT3G22700.1, AT3G22720.1, AT3G22730.1",,,,,,
AT3G17500,AT3G17500.1,,"AT1G62270.1, AT2G04920.1, AT3G17480.1, AT3G17490.1, AT3G17500.1, AT3G22350.1, AT3G22700.1, AT3G22710.1, AT3G22720.1, AT3G22730.1, AT3G25460.1, AT5G47300.1, AT5G51000.1",,"CARHR092830.1, CARHR099690.1, CARHR120060.1, CARHR151680.1","Carub.0002s0776.1.p, Carub.0003s2286.1.p, Carub.0003s2652.1.p, Carub.0003s2653.1.p, Carub.0003s2655.1.p, Carub.0003s2657.1.p, Carub.0003s2730.1.p",,,
AT3G17560,AT3G17560.1,,AT3G17560.1,,,Carub.0003s1726.1.p,,,
AT3G17620,AT3G17620.1,,"AT1G24800.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G25211.1, AT1G32140.1, AT1G54550.1, AT1G62270.1, AT1G66490.1, AT1G67450.1, AT2G17830.1, AT2G18780.1, AT2G27520.1, AT3G13680.1, AT3G13820.1, AT3G16740.1, AT3G16820.1, AT3G16880.1, AT3G17320.1, AT3G17620.1, AT3G19560.1, AT3G19890.1, AT3G20030.1, AT3G24580.1, AT3G49510.1, AT3G49520.1, AT3G49980.2, AT4G05080.1, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G42460.1, AT5G51000.1, AT5G60560.2",,"CARHR088590.1, CARHR092620.1, CARHR092630.1, CARHR108320.1, CARHR135370.1, CARHR158510.1, CARHR158520.1, CARHR260760.1, CARHR260790.1","Carub.0001s1047.1.p, Carub.0001s2537.1.p, Carub.0001s2538.1.p, Carub.0001s3510.1.p, Carub.0002s0302.1.p, Carub.0002s0645.1.p, Carub.0003s1313.1.p, Carub.0003s1362.1.p, Carub.0003s1703.1.p, Carub.0003s1760.1.p, Carub.0003s1761.1.p, Carub.0003s1975.1.p, Carub.0003s1995.1.p, Carub.0003s3197.1.p, Carub.0004s0830.1.p, Carub.0005s1584.1.p, Carub.0005s1634.1.p, Carub.0005s2337.1.p, Carub.0008s1500.1.p",,,
AT3G18120,AT3G18120.1,,,,,,,,
AT3G18320,AT3G18320.1,,,,,,,,
AT3G18330,AT3G18330.1,,"AT2G07140.1, AT3G18330.1, AT3G18910.1, AT3G18980.1, AT3G19410.1, AT3G44120.1",,,"Carub.0003s1813.1.p, Carub.0003s1874.1.p",,,
AT3G18905,AT3G18905.1,,,,,,,,
ETP2,AT3G18910.1,,"AT2G07140.1, AT3G18330.1, AT3G18910.1, AT3G18980.1, AT3G19410.1, AT3G44120.1",,,"Carub.0003s1813.1.p, Carub.0003s1874.1.p",,,
ETP1,AT3G18980.1,,"AT2G07140.1, AT3G18330.1, AT3G18910.1, AT3G18980.1, AT3G19410.1, AT3G44120.1",,,"Carub.0003s1813.1.p, Carub.0003s1874.1.p",,,
AT3G19410,AT3G19410.1,,"AT2G07140.1, AT3G18330.1, AT3G18910.1, AT3G18980.1, AT3G19410.1, AT3G44120.1",,,"Carub.0003s1813.1.p, Carub.0003s1874.1.p",,,
AT3G19470,AT3G19470.2,,"AT3G19470.2, AT3G22770.1, AT3G23420.1",,,"Carub.0003s2560.1.p, Carub.0003s2561.1.p, Carub.0003s2562.1.p",,,
AT3G19560,AT3G19560.1,,"AT1G24800.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G25211.1, AT1G32140.1, AT1G54550.1, AT1G66490.1, AT1G67450.1, AT2G17830.1, AT2G18780.1, AT3G13680.1, AT3G13820.1, AT3G16740.1, AT3G16820.1, AT3G16880.1, AT3G17320.1, AT3G17620.1, AT3G19560.1, AT3G19890.1, AT3G20030.1, AT3G20700.1, AT3G24580.1, AT3G49510.1, AT3G49520.1, AT4G05080.1, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G42460.1, AT5G51000.1, AT5G60560.2",,"CARHR088590.1, CARHR158510.1, CARHR158520.1, CARHR260760.1, CARHR260790.1","Carub.0001s2537.1.p, Carub.0001s2538.1.p, Carub.0003s1661.1.p, Carub.0005s1584.1.p",,,
AT3G19880,AT3G19880.1,,AT3G19880.1,,,"Carub.0003s1977.1.p, Carub.0003s2322.1.p",,,
AT3G19890,AT3G19890.1,,"AT1G24800.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G25211.1, AT1G32140.1, AT1G54550.1, AT1G66490.1, AT1G67450.1, AT2G17830.1, AT2G18780.1, AT3G13680.1, AT3G13820.1, AT3G16740.1, AT3G16820.1, AT3G16880.1, AT3G17320.1, AT3G17620.1, AT3G19560.1, AT3G19890.1, AT3G20030.1, AT3G24580.1, AT3G49510.1, AT3G49520.1, AT4G05080.1, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G42460.1, AT5G51000.1, AT5G60560.2",,"CARHR088590.1, CARHR095400.1, CARHR095410.1, CARHR158510.1, CARHR158520.1, CARHR260760.1, CARHR260790.1","Carub.0001s2537.1.p, Carub.0001s2538.1.p, Carub.0003s1978.1.p, Carub.0005s1584.1.p",,,
AT3G20030,AT3G20030.1,,"AT1G24800.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G25211.1, AT1G32140.1, AT1G54550.1, AT1G66490.1, AT1G67450.1, AT2G17830.1, AT2G18780.1, AT3G13680.1, AT3G13820.1, AT3G16740.1, AT3G16820.1, AT3G16880.1, AT3G17320.1, AT3G17620.1, AT3G19560.1, AT3G19890.1, AT3G20030.1, AT3G24580.1, AT3G49510.1, AT3G49520.1, AT4G05080.1, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G42460.1, AT5G51000.1, AT5G60560.2",,"CARHR088590.1, CARHR158510.1, CARHR158520.1, CARHR260760.1, CARHR260790.1","Carub.0001s2537.1.p, Carub.0001s2538.1.p, Carub.0003s2032.1.p, Carub.0005s1584.1.p",,,
AT3G20690,AT3G20690.1,,"AT3G20690.1, AT3G20700.1",,,,,,
AT3G20700,AT3G20700.1,,"AT1G66490.1, AT3G16880.1, AT3G19560.1, AT3G20690.1, AT3G20700.1, AT5G42460.1",,,,,,
AT3G20710,AT3G20710.1,,AT3G20710.1,,"CARHR096510.1, CARHR096530.1",Carub.0003s2067.1.p,,,
AT3G22350,AT3G22350.1,,"AT1G62270.1, AT2G04920.1, AT3G17480.1, AT3G17490.1, AT3G17500.1, AT3G22350.1, AT3G22700.1, AT3G22710.1, AT3G22720.1, AT3G22730.1, AT3G25460.1, AT5G47300.1, AT5G51000.1",,"CARHR092830.1, CARHR099690.1, CARHR120060.1, CARHR151680.1","Carub.0002s0776.1.p, Carub.0003s2286.1.p, Carub.0003s2652.1.p, Carub.0003s2653.1.p, Carub.0003s2655.1.p, Carub.0003s2657.1.p, Carub.0003s2730.1.p",,,
ATSFL61,AT3G22650.2,"Aa31LG5G23400, Aa31LG8G9160, Aa31LG8G9170, Aa31LG8G9180, Aa31LG8G9190, Aa31LG8G9200, Aa31LG8G9220","AT3G22650.2, AT1G77650.1, AT3G21410.1",,"CARHR098530.1, CARHR044120.1, CARHR097380.1","Carub.0003s2280.1.p, Carub.0003s2144.1.p",,,
AT3G22700,AT3G22700.1,,"AT1G62270.1, AT2G04920.1, AT3G17480.1, AT3G17490.1, AT3G17500.1, AT3G22350.1, AT3G22700.1, AT3G22710.1, AT3G22720.1, AT3G22730.1, AT3G25460.1, AT5G47300.1, AT5G51000.1",,"CARHR092830.1, CARHR099690.1, CARHR120060.1, CARHR151680.1","Carub.0002s0776.1.p, Carub.0003s2286.1.p, Carub.0003s2652.1.p, Carub.0003s2653.1.p, Carub.0003s2655.1.p, Carub.0003s2657.1.p, Carub.0003s2730.1.p",,,
AT3G22710,AT3G22710.1,,"AT2G04920.1, AT3G17500.1, AT3G22350.1, AT3G22700.1, AT3G22710.1, AT3G22720.1, AT3G22730.1",,"CARHR092830.1, CARHR099690.1, CARHR151680.1","Carub.0002s0776.1.p, Carub.0003s2286.1.p, Carub.0003s2652.1.p, Carub.0003s2653.1.p, Carub.0003s2655.1.p, Carub.0003s2657.1.p, Carub.0003s2730.1.p",,,
AT3G22720,AT3G22720.1,,"AT1G62270.1, AT2G04920.1, AT3G17480.1, AT3G17490.1, AT3G17500.1, AT3G22350.1, AT3G22700.1, AT3G22710.1, AT3G22720.1, AT3G22730.1, AT3G25460.1, AT5G47300.1, AT5G51000.1",,"CARHR092830.1, CARHR099690.1, CARHR120060.1, CARHR151680.1","Carub.0002s0776.1.p, Carub.0003s2286.1.p, Carub.0003s2652.1.p, Carub.0003s2653.1.p, Carub.0003s2655.1.p, Carub.0003s2657.1.p, Carub.0003s2730.1.p",,,
AT3G22730,AT3G22730.1,,"AT1G62270.1, AT2G04920.1, AT3G17480.1, AT3G17490.1, AT3G17500.1, AT3G22350.1, AT3G22700.1, AT3G22710.1, AT3G22720.1, AT3G22730.1, AT3G25460.1, AT5G47300.1, AT5G51000.1",,"CARHR092830.1, CARHR099690.1, CARHR120060.1, CARHR151680.1","Carub.0002s0776.1.p, Carub.0003s2286.1.p, Carub.0003s2652.1.p, Carub.0003s2653.1.p, Carub.0003s2655.1.p, Carub.0003s2657.1.p, Carub.0003s2730.1.p",,,
AT3G22770,AT3G22770.1,,"AT3G19470.2, AT3G22770.1, AT3G23420.1",,,"Carub.0003s2560.1.p, Carub.0003s2561.1.p, Carub.0003s2562.1.p",,,
AT3G23420,AT3G23420.1,,"AT3G19470.2, AT3G22770.1, AT3G23420.1",,,,,,
AT3G24580,AT3G24580.1,,"AT1G24800.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G25211.1, AT1G32140.1, AT1G54550.1, AT1G66490.1, AT1G67450.1, AT2G17830.1, AT2G18780.1, AT3G13680.1, AT3G13820.1, AT3G16740.1, AT3G16820.1, AT3G16880.1, AT3G17320.1, AT3G17620.1, AT3G19560.1, AT3G19890.1, AT3G20030.1, AT3G24580.1, AT3G49510.1, AT3G49520.1, AT4G05080.1, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G42460.1, AT5G51000.1, AT5G60560.2",,"CARHR088590.1, CARHR158510.1, CARHR158520.1, CARHR260760.1, CARHR260790.1","Carub.0001s2537.1.p, Carub.0001s2538.1.p, Carub.0005s1584.1.p",,,
AT3G25460,AT3G25460.1,,"AT2G04920.1, AT3G17500.1, AT3G22350.1, AT3G22700.1, AT3G22720.1, AT3G22730.1, AT3G25460.1, AT3G49980.2, AT4G09870.1, AT5G47300.1, AT5G51000.1",,"CARHR084920.1, CARHR120060.1, CARHR120290.1, CARHR120300.1, CARHR248580.1, CARHR266870.1","Carub.0004s0838.1.p, Carub.0004s0843.1.p, Carub.0005s1634.1.p",,,
AT3G44120,AT3G44120.1,,"AT2G07140.1, AT3G18330.1, AT3G18910.1, AT3G18980.1, AT3G19410.1, AT3G44120.1",,,"Carub.0003s1813.1.p, Carub.0003s1874.1.p",,,
AT3G49510,AT3G49510.1,,"AT1G24800.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G25211.1, AT1G32140.1, AT1G54550.1, AT1G66490.1, AT1G67450.1, AT2G17830.1, AT2G18780.1, AT3G13680.1, AT3G13820.1, AT3G16740.1, AT3G16820.1, AT3G16880.1, AT3G17320.1, AT3G17620.1, AT3G19560.1, AT3G19890.1, AT3G20030.1, AT3G24580.1, AT3G49510.1, AT3G49520.1, AT4G05080.1, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G42460.1, AT5G51000.1, AT5G60560.2",,"CARHR088590.1, CARHR158510.1, CARHR158520.1, CARHR260760.1, CARHR260790.1","Carub.0001s2537.1.p, Carub.0001s2538.1.p, Carub.0005s1584.1.p",,,
AT3G49520,AT3G49520.1,,"AT1G24800.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G25211.1, AT1G32140.1, AT1G54550.1, AT1G66490.1, AT1G67450.1, AT2G17830.1, AT2G18780.1, AT3G13680.1, AT3G13820.1, AT3G16740.1, AT3G16820.1, AT3G16880.1, AT3G17320.1, AT3G17620.1, AT3G19560.1, AT3G19890.1, AT3G20030.1, AT3G24580.1, AT3G49510.1, AT3G49520.1, AT4G05080.1, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G42460.1, AT5G51000.1, AT5G60560.2",,"CARHR088590.1, CARHR158510.1, CARHR158520.1, CARHR260760.1, CARHR260790.1","Carub.0001s2537.1.p, Carub.0001s2538.1.p, Carub.0005s1584.1.p",,,
AT3G49980,AT3G49980.2,,"AT1G62270.1, AT2G17830.1, AT2G27520.1, AT3G16740.1, AT3G17320.1, AT3G17620.1, AT3G25460.1, AT3G49980.2, AT4G09870.1, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G47300.1",,,"Carub.0002s0522.1.p, Carub.0004s0830.1.p, Carub.0004s0842.1.p, Carub.0004s0845.1.p, Carub.0005s1634.1.p, Carub.0006s3223.1.p",,,
AT4G05080,AT4G05080.1,,"AT1G24800.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G25211.1, AT1G32140.1, AT1G54550.1, AT1G66490.1, AT1G67450.1, AT2G17830.1, AT2G18780.1, AT3G13680.1, AT3G13820.1, AT3G16740.1, AT3G16820.1, AT3G16880.1, AT3G17320.1, AT3G17620.1, AT3G19560.1, AT3G19890.1, AT3G20030.1, AT3G24580.1, AT3G49510.1, AT3G49520.1, AT4G05080.1, AT4G17200.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G42460.1, AT5G51000.1, AT5G60560.2",,"CARHR088590.1, CARHR158510.1, CARHR158520.1, CARHR260760.1, CARHR260790.1","Carub.0001s2537.1.p, Carub.0001s2538.1.p, Carub.0005s1584.1.p",,,
AT4G09870,AT4G09870.1,,"AT3G25460.1, AT3G49980.2, AT4G09870.1, AT5G47300.1",,,Carub.0005s1634.1.p,,,
